phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_violated_maxims,randomized_true_answer,original_labels_complex,original_violated_maxims,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
MV,1,"Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week."" Why has Bob responded like this?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",3,"['IncorrectLiteral', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week."" Why has Bob responded like this?
Options:
1) He is excited about the upcoming trip to Japan and does not want to talk about anything else.
2) He wants to avoid going to Japan next week and wants to discuss it with his boss. 
3) He disliked the talk that his boss gave but does not want to criticize his boss.  
4) He liked the talk that his boss gave but does not want to tell him about it.
Answer: ",0,1,True,"{'1': np.float64(0.6874211435197566), '2': np.float64(0.10019976793471162), '3': np.float64(0.08372003977114868), '4': np.float64(0.1286590487743831)}",0.08372003977114868,1,False,IncorrectLiteral,pythia-6.9b
MV,2,"Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds, ""Have you noticed that I painted the walls?"" Why has Alex responded like this?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral', 'CorrectNonLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds, ""Have you noticed that I painted the walls?"" Why has Alex responded like this?
Options:
1) Alex is proud of the painting job that he did.
2) Alex is afraid that Richard will become a better painter than he is. 
3) Alex wants Richards to help him paint the walls.
4) Alex thinks that Richard's painting is mediocre.
Answer: ",0,1,True,"{'1': np.float64(0.7311634643143824), '2': np.float64(0.07736568237798629), '3': np.float64(0.09405275066388302), '4': np.float64(0.09741810264374831)}",0.09741810264374831,1,False,IncorrectLiteral,pythia-6.9b
MV,3,"Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds, ""The latte is unbelievable here."" Why has Jane responded like this?","[4, 1, 2, 3]","['IncorrectAssociate', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds, ""The latte is unbelievable here."" Why has Jane responded like this?
Options:
1) A coffee break is not a good time to discuss men.
2) She thinks that it is the best latte in the town.
3) She does not want to discuss the topic that Leslie has raised.
4) The man who Leslie saw makes unbelievable lattes.
Answer: ",0,1,True,"{'1': np.float64(0.6424641719261456), '2': np.float64(0.08232077876320393), '3': np.float64(0.12261643295526721), '4': np.float64(0.15259861635538333)}",0.12261643295526721,1,False,IncorrectAssociate,pythia-6.9b
MV,4,"Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies: ""Beer and chips would be awesome. Thanks!"" Why has Kelsey's husband responded like this?","[4, 2, 1, 3]","['IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies: ""Beer and chips would be awesome. Thanks!"" Why has Kelsey's husband responded like this?
Options:
1) He is excited about seeing his wife. 
2) He pretends that he did not understand his wife's comment because he wants to watch the game.
3) He is thankful for her offer of beer and chips.
4) He is happy to turn off the TV right away and to spend more time with his wife.
Answer: ",0,1,True,"{'1': np.float64(0.7388264176551969), '2': np.float64(0.09578386578664076), '3': np.float64(0.09503846982941656), '4': np.float64(0.07035124672874589)}",0.09578386578664076,1,False,IncorrectAssociate,pythia-6.9b
MV,5,"Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says: ""She has excellent handwriting and is always dressed so nicely."" Why has Mark responded like this?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says: ""She has excellent handwriting and is always dressed so nicely."" Why has Mark responded like this?
Options:
1) Mark's opinion of Jane as a financial manager is very low.
2) Mark is fond of people who have good handwriting.
3) Mark's opinion of Jane as a financial manager is very high.
4) Mark needs to get some new clothes.
Answer: ",0,1,True,"{'1': np.float64(0.6849017883959421), '2': np.float64(0.08539129840402611), '3': np.float64(0.09378399414873324), '4': np.float64(0.13592291905129855)}",0.6849017883959421,1,True,CorrectNonLiteral,pythia-6.9b
MV,6,"Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds: ""Somewhere in France."" Why has Lucy's mom responded like this?","[3, 4, 2, 1]","['IncorrectNonLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds: ""Somewhere in France."" Why has Lucy's mom responded like this?
Options:
1) Lucy's mom is jealous that she is not going to Paris.
2) Lucy's mom is afraid that Lucy will go to France.
3) Lucy's mom does not know where exactly Vincent lives.
4) Lucy's mom knows that Vincent lives somewhere in France.
Answer: ",0,1,True,"{'1': np.float64(0.7225189782110664), '2': np.float64(0.05770823804473522), '3': np.float64(0.06773182696248138), '4': np.float64(0.15204095678171717)}",0.06773182696248138,1,False,IncorrectNonLiteral,pythia-6.9b
MV,7,"Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds: ""Some food."" Why has Melanie responded like this?","[4, 1, 3, 2]","['IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",3,"['IncorrectAssociate', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds: ""Some food."" Why has Melanie responded like this?
Options:
1) There was not a lot of food at the wedding.
2) The wedding is not about food.
3) The food at the wedding was mediocre.
4) The food at the wedding was outstanding.
Answer: ",0,1,True,"{'1': np.float64(0.6569001336917557), '2': np.float64(0.08549599249302411), '3': np.float64(0.12151430632959632), '4': np.float64(0.1360895674856237)}",0.12151430632959632,1,False,IncorrectLiteral,pythia-6.9b
MV,8,"Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds, ""In a cup."" Why has Mary responded like this?","[1, 2, 3, 4]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds, ""In a cup."" Why has Mary responded like this?
Options:
1) Mary wants Ken to serve her tea in a cup.
2) Mary is irritated with Ken.
3) Mary is proud of the new cups that she got from Ken for her birthday.
4) Mary wants Ken to wash a cup that she sees in the sink.  
Answer: ",0,1,True,"{'1': np.float64(0.6894991731467696), '2': np.float64(0.10698453036969494), '3': np.float64(0.0846317293761696), '4': np.float64(0.11888456710736585)}",0.10698453036969494,1,False,IncorrectLiteral,pythia-6.9b
MV,9,"George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds: ""A pair of shoes."" Why has Cindy responded like this?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral', 'CorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds: ""A pair of shoes."" Why has Cindy responded like this?
Options:
1) Cindy does not plan to buy anything but shoes in this store.
2) Cindy is excited about going shopping.
3) Cindy has an obsession with shoes and buys them on every occasion. 
4) Cindy does not know what type of shoes she wants to buy.
Answer: ",0,1,True,"{'1': np.float64(0.6993145397511443), '2': np.float64(0.10035304076308516), '3': np.float64(0.08617245907759112), '4': np.float64(0.1141599604081796)}",0.1141599604081796,1,False,IncorrectLiteral,pythia-6.9b
MV,10,"Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds: ""some schoolwork."" Why has Mike responded like this?","[4, 3, 1, 2]","['IncorrectNonLiteral', 'IncorrectAssociate', 'IncorrectLiteral', 'CorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds: ""some schoolwork."" Why has Mike responded like this?
Options:
1) He is upset that his dad is not at home.
2) He is too excited to talk about this at the moment.
3) He has been doing lots of schoolwork at school.
4) He does not want to talk about school with his mom.
Answer: ",0,1,True,"{'1': np.float64(0.7048046112844786), '2': np.float64(0.09841277445071316), '3': np.float64(0.10682605605106257), '4': np.float64(0.08995655821374587)}",0.08995655821374587,1,False,IncorrectNonLiteral,pythia-6.9b
